probe_version,artifact_version,run_file,case_id,passed,actual_calls,provider_error_cases
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013242527022.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013242527022.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013246881056.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013246881056.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013251133430.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013251133430.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013255578035.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013255578035.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013259988463.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v1,probe_v1+p27467914bc4d+t8bfdbbc56a69,analysis/stability_probe/probe_v1_B_base_openai_20260916T013259988463.json,H19_ambiguous_environment,False,"[{""name"": ""check_service_status"", ""args"": {""service"": ""email"", ""environment"": ""staging""}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013304270510.json,H03_kb_routing,True,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""email""}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013304270510.json,H19_ambiguous_environment,True,"[{""name"": ""clarify"", ""args"": {""question"": ""Môi trường bạn muốn kiểm tra là production hay staging?"", ""response_type"": ""choice"", ""options"": [""production"", ""staging""]}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013308632699.json,H03_kb_routing,False,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""software""}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013308632699.json,H19_ambiguous_environment,True,"[{""name"": ""clarify"", ""args"": {""question"": ""Môi trường bạn muốn kiểm tra là production hay staging?"", ""response_type"": ""choice"", ""options"": [""production"", ""staging""]}}]",0
probe_v2,probe_v2+pb4bb31b15e8b+t8bfdbbc56a69,analysis/stability_probe/probe_v2_B_base_openai_20260916T013313314411.json,H03_kb_routing,False,"[{""name"": ""search_kb"", ""args"": {""query"": ""Outlook profile configuration Windows 11"", ""category"": ""software""}}]",0
